City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,qaqortoq,60.7167,-46.0333,-6.56,83,91,1.88,GL,1712964859
155,kapuskasing,49.4169,-82.4331,0.05,100,100,9.77,CA,1712964605
156,wailua homesteads,22.0669,-159.378,28.24,73,40,4.12,US,1712964797
157,djambala,-2.5447,14.7533,21.7,91,100,0.8,CG,1712965279
158,shizunai-furukawacho,42.3339,142.3669,7.38,89,3,2.82,JP,1712965093
159,arraial do cabo,-22.9661,-42.0278,25.3,79,29,5.45,BR,1712964866
160,azare,11.6765,10.1948,26.86,12,96,1.8,NG,1712965279
161,langepas,61.2544,75.2124,0.95,99,100,5.12,RU,1712965279
162,remire-montjoly,4.9167,-52.2667,28.02,78,20,3.6,GF,1712964861
163,pisco,-13.7,-76.2167,22.03,83,0,10.29,PE,1712964741
164,pacocha,-17.5833,-71.3333,20.12,92,84,1.51,PE,1712965279
165,ust-nera,64.5667,143.2,-2.55,84,99,1.46,RU,1712964859
166,anadyr,64.75,177.4833,-8.72,61,40,4.0,RU,1712964863
167,georgetown,5.4112,100.3354,27.96,83,20,1.03,MY,1712964861
168,okhotsk,59.3833,143.3,-1.38,87,96,3.7,RU,1712964883
169,ilhabela,-23.7781,-45.3581,23.66,92,9,2.95,BR,1712965279
170,carnarvon,-24.8667,113.6333,22.78,56,44,5.78,AU,1712965279
171,puerto baquerizo moreno,-0.9,-89.6,25.57,85,50,3.9,EC,1712964734
172,ivanovo,56.9942,40.9858,5.01,79,93,5.81,RU,1712965280
173,nueva loja,0.0847,-76.8828,25.78,82,94,0.42,EC,1712965280
174,saipan,15.1355,145.701,26.39,89,100,5.14,MP,1712964869
175,crane,31.3974,-102.3501,25.39,17,99,12.65,US,1712964873
176,punta arenas,-53.15,-70.9167,8.06,76,0,3.6,CL,1712964613
177,yemva,62.59,50.8594,-4.54,80,97,4.46,RU,1712965280
178,puerto lempira,15.2667,-83.7667,26.77,80,87,4.38,HN,1712965280
179,plunge,55.9114,21.8442,6.33,97,100,5.75,LT,1712965280
180,port elizabeth,-33.918,25.5701,11.29,88,0,2.06,ZA,1712964865
181,coahuayana de hidalgo,18.7,-103.6583,30.07,50,2,2.3,MX,1712965280
182,shchuchyn,53.6014,24.7465,10.13,86,100,4.1,BY,1712965280
183,woodward,36.4337,-99.3904,28.57,31,0,6.69,US,1712965280
184,puerto rico,-26.796,-55.024,24.5,80,94,1.3,AR,1712965194
185,queenstown,-31.8976,26.8753,5.64,87,57,0.97,ZA,1712964870
186,yuzhno-kurilsk,44.0306,145.8556,4.65,76,93,2.28,RU,1712964863
187,narvik,68.4384,17.4272,5.77,97,100,2.21,NO,1712965280
188,severo-yeniseyskiy,60.3725,93.0408,-16.35,94,99,1.34,RU,1712964881
189,bamboo flat,11.7,92.7167,27.05,89,5,1.03,IN,1712964888
190,sitka,57.0531,-135.33,3.94,81,100,6.17,US,1712964796
191,dunay,42.8803,132.3375,4.3,92,88,1.24,RU,1712965281
192,cabedelo,-6.9811,-34.8339,28.37,85,3,3.82,BR,1712965189
193,portland,45.5234,-122.6762,20.43,54,75,2.57,US,1712964887
194,st. john's,47.5649,-52.7093,4.88,84,100,6.69,CA,1712964863
195,novyy urgal,51.0736,132.5642,10.41,77,100,2.52,RU,1712965281
196,st. paul,44.9444,-93.0933,16.32,33,0,8.23,US,1712965281
197,ilulissat,69.2167,-51.1,-5.99,86,75,1.03,GL,1712964861
198,enewetak,11.3474,162.3373,27.15,77,98,8.73,MH,1712964866
199,khorol,49.7837,33.2783,11.28,80,7,3.91,UA,1712965281
200,aigio,38.2486,22.0819,17.36,59,0,1.52,GR,1712965281
201,weno,7.4515,151.8468,26.97,89,100,3.6,FM,1712964860
202,hauterive,46.0901,3.4459,11.42,85,81,1.61,FR,1712965281
203,yanam,16.7333,82.2167,24.44,88,2,0.96,IN,1712964891
204,khandyga,62.6667,135.6,-14.54,86,100,2.0,RU,1712965281
205,malabar,-33.9667,151.25,22.66,69,20,2.57,AU,1712964874
206,trincomalee,8.5711,81.2335,28.53,77,97,4.16,LK,1712965282
207,richards bay,-28.783,32.0377,18.73,72,81,2.29,ZA,1712965282
208,egilsstadir,65.2653,-14.3948,-2.05,86,100,7.72,IS,1712965282
209,kerikeri,-35.2268,173.9474,22.17,60,36,4.82,NZ,1712964871
210,fuling,29.7022,107.3919,20.81,85,29,1.1,CN,1712964879
211,whitehorse,60.7161,-135.0538,5.57,32,75,8.23,CA,1712964860
212,aykhal,66.0,111.5,-18.6,98,95,2.78,RU,1712964867
213,tal'menka,53.8183,83.5677,0.39,68,100,6.6,RU,1712965282
214,port alfred,-33.5906,26.891,12.32,86,68,0.45,ZA,1712964861
215,bilibino,68.0546,166.4372,-7.32,85,100,3.14,RU,1712964865
216,santa cruz,-17.8,-63.1667,22.03,94,100,3.6,BO,1712965218
217,agat village,13.3886,144.6585,29.64,79,40,5.14,GU,1712965282
218,vila franca do campo,37.7167,-25.4333,18.27,99,98,2.71,PT,1712964862
219,at-bashi,41.1702,75.8106,8.14,47,100,0.53,KG,1712965283
220,palikir - national government center,6.9248,158.1611,29.41,84,100,1.54,FM,1712964871
221,toliara,-23.35,43.6667,20.17,77,37,4.65,MG,1712965011
222,torres,-29.3353,-49.7269,21.57,92,100,6.77,BR,1712965283
223,umatilla,45.5001,-118.5014,11.17,87,100,1.54,US,1712965045
224,bonthe,7.5264,-12.505,26.25,79,15,0.8,SL,1712964888
225,princeville,45.7668,-61.2985,12.51,98,100,5.66,CA,1712965283
226,san miguel,13.4833,-88.1833,32.81,49,0,3.09,SV,1712965232
227,port macquarie,-31.4333,152.9167,23.27,69,7,1.54,AU,1712965283
228,constantia,44.1833,28.65,15.39,63,21,3.86,RO,1712964732
229,guangyuan,32.442,105.823,18.81,80,65,0.41,CN,1712965283
230,el colomo,19.05,-104.25,29.99,62,50,2.64,MX,1712965283
231,flying fish cove,-10.4217,105.6791,26.82,83,40,5.14,CX,1712964860
232,cidreira,-30.1811,-50.2056,21.31,88,100,9.72,BR,1712965283
233,namdrik,5.5994,168.1028,26.18,89,100,5.99,MH,1712965283
234,gevas,38.2968,43.1083,3.78,65,0,1.35,TR,1712965283
235,knightdale,35.7877,-78.4806,18.07,72,63,6.74,US,1712965085
236,gulf shores,30.246,-87.7008,23.14,61,0,5.14,US,1712965284
237,port saint john's,-31.6229,29.5448,15.47,77,84,2.53,ZA,1712964855
238,novi pazar,43.1367,20.5122,12.25,95,6,1.51,RS,1712965207
239,walvis bay,-22.9575,14.5053,14.53,100,11,2.57,NA,1712964874
240,isafjordur,66.0755,-23.124,-6.11,84,99,3.06,IS,1712964863
241,dunedin,-45.8742,170.5036,10.45,88,100,1.79,NZ,1712964676
242,mermoz boabab,14.7065,-17.4758,23.31,88,0,4.12,SN,1712965284
243,piti village,13.4626,144.6933,29.61,78,40,5.14,GU,1712965284
244,kuta,-8.7233,115.1723,25.97,94,40,2.24,ID,1712965284
245,rondonopolis,-16.4708,-54.6356,23.18,92,86,0.34,BR,1712965084
246,araxa,-19.5933,-46.9406,21.98,100,0,3.6,BR,1712965264
247,port lincoln,-34.7333,135.8667,15.66,58,73,2.03,AU,1712964873
248,souillac,-20.5167,57.5167,25.21,94,40,2.57,MU,1712965284
249,susuman,62.7833,148.1667,-8.34,90,82,1.79,RU,1712964870
250,matoury,4.8483,-52.3317,27.98,78,75,4.12,GF,1712965284
251,ceeldheer,3.8488,47.1806,28.71,78,86,5.55,SO,1712964870
252,sinabang,2.4803,96.3801,26.7,84,95,0.99,ID,1712964880
253,callao,-12.0667,-77.15,23.16,73,0,7.2,PE,1712964866
254,zaozersk,69.4005,32.4476,-3.08,94,98,2.29,RU,1712964867
255,vernon,50.2581,-119.2691,18.29,32,100,1.54,CA,1712965285
256,mejit,10.2753,170.8646,26.74,82,85,9.19,MH,1712964867
257,rundu,-17.9333,19.7667,19.61,67,84,2.5,NA,1712965285
258,al fqih ben calah,32.5009,-6.6906,18.11,20,0,6.49,MA,1712965285
259,urzhar,47.093,81.6294,0.15,52,5,2.7,KZ,1712965285
260,trinity beach,-16.7888,145.6968,29.45,74,47,6.17,AU,1712965285
261,mataram,-8.5833,116.1167,25.45,81,63,3.14,ID,1712965285
